,diameter,emplacement_depth,midpoint_x,midpoint_y,name,transgressive_height
0,16767.48990489933,4.498668911740335,386884.823,5770749.550000001,Sill 150,1.5666514594978218
1,9016.410410038652,2.2401282755332304,426710.128,5800060.105,Sill 1,0.28344387520601755
2,1118.2982012283223,0.14117758836403904,351043.8465,5900845.645,Sill 10,0.10036681173315154
3,3237.895581163302,4.680068402246018,380751.085,5777806.92,Sill 100,0.3901394541870138
4,5736.582466320634,5.008538915669752,389340.91599999997,5763768.34,Sill 101,1.0924979537126607
5,11167.06703658165,5.387371113622023,387029.8735,5773085.135,Sill 102,1.07320791688303
6,4122.967849765038,3.2065482821064437,407029.108,5734830.395,Sill 103,0.5338024254978317
7,4490.323746840685,0.7134391027936666,284262.7185,5910533.779999999,Sill 104,0.24086871132825238
10,1341.7933948897223,2.335143745465113,347597.72849999997,5825589.4399999995,Sill 107,0.24741014713681864
12,3772.512196785591,1.8950592664319608,349791.364,5822607.6,Sill 109,0.5858537371038577
15,2282.3256909054294,1.506584495325523,354395.3365,5816418.46,Sill 111,0.22304628449728203
16,1934.656485341979,2.8001920321799916,355530.375,5814911.654999999,Sill 112,0.1170304760437948
17,5649.368294774346,3.7552975366546826,367139.686,5799269.93,Sill 113,0.4798141895013006
18,3580.7352983774226,3.185285966867843,409191.16500000004,5731294.15,Sill 114,0.47608388570688076
19,2093.04604942191,3.9749874983993982,420937.045,5712117.555,Sill 115,0.31988095360194224
22,3499.8288876945494,0.9537272091718817,339241.038,5970370.1850000005,Sill 119,0.44014866579230116
23,4925.231562340998,1.5767380715119157,321881.8735,5939642.18,Sill 12,0.7210590126428874
25,10027.126230134247,3.4313795719845506,412798.2045,5874819.98,Sill 122,1.0602155998349727
26,23665.647460885142,4.263667502390068,421996.4735,5858420.470000001,Sill 123,2.847120120932444
27,1695.1350227231505,2.4561479539589897,426087.01749999996,5857499.875,Sill 124,0.10206084196127918
28,7212.249806540037,3.6218563344759573,438024.113,5841941.55,Sill 125,0.8178469438121887
30,3224.6564010677002,2.4796834465235253,393909.22349999996,5954316.9350000005,Sill 127,0.48617307819182365
31,2887.1691161510576,1.8806891414807092,397928.994,5949146.395,Sill 128,0.6228012552551268
32,3330.902948875301,2.2237764914381213,395782.949,5951906.805,Sill 129,0.25399286069553617
34,2692.8016185990136,1.7426466935460208,415738.7965,5926262.890000001,Sill 130,0.6554590516977652
35,7074.890899443236,1.6371244068087227,408075.3565,5771232.87,Sill 131,0.48240295288616486
36,5435.595657969822,1.5584597786118024,443219.5725,5891016.175,Sill 132,0.1933488972385291
37,4249.938973350069,0.7455795700135841,401858.286,5771092.76,Sill 133,0.25259531303137905
38,2362.4547559530024,1.2149014908848565,400358.6875,5771058.965,Sill 134,0.3452200320246196
39,5274.91208541237,1.0190370782445044,394122.8685,5770918.4350000005,Sill 135,0.43166935507615944
40,4911.846734328787,2.2053031862945423,376079.352,5770496.96,Sill 136,0.26260300310255946
41,4262.433885563914,1.6134865618253476,409443.734,5771263.705,Sill 137,0.173919823855484
42,6111.694313780796,2.0521990927722875,380096.4175,5770592.984999999,Sill 138,1.023831381348455
43,2218.4554274954257,2.48120160981909,377200.75800000003,5770523.765,Sill 139,0.28821688746616525
45,3199.573710230818,4.724302000621256,362734.945,5770177.99,Sill 140,0.38698499182628243
46,2912.113605549072,1.0213964189020666,366889.45,5770277.295,Sill 141,0.352801455091033
47,5880.468176677894,2.1264514315542833,371378.19550000003,5770384.59,Sill 142,0.44540854657498397
48,4299.427723267382,2.652207711709096,359217.66000000003,5770093.92,Sill 143,0.23592985875272632
49,3905.733249317488,1.8271308225772587,328008.852,5769347.935,Sill 144,0.08776548853487842
50,2755.8820726992453,1.8105555602143941,331213.7615,5769424.54,Sill 145,0.13088845868181131
51,4511.897461521155,0.7742380005535078,334171.89749999996,5769495.25,Sill 146,0.3218740008170794
52,3105.835942383483,0.8331347388228008,319793.5405,5769151.5600000005,Sill 147,0.12207512649810137
53,2099.7206969120693,0.7164843474749186,322201.9075,5769209.13,Sill 148,0.151528024592135
54,4355.676686565382,4.365633483864338,366592.70149999997,5770270.2,Sill 149,0.5992140885445911
56,3911.980050456441,8.4497753778483,382070.5945,5770640.17,Sill 151,1.4853960235689927
57,10854.806676581058,1.7102358773597435,360620.1975,5770127.445,Sill 152,0.48542962708059534
58,16640.574480607633,1.7185779909933971,431819.1665,5809414.77,Sill 153,0.7496230894844227
59,4884.731130929955,1.5888239587648734,377931.023,5809492.87,Sill 154,0.655562516745626
60,7133.453493961809,3.2514891551816856,382747.038,5809485.89,Sill 155,0.6026999081446958
61,6746.18108908114,3.499111543485242,409375.668,5809447.300000001,Sill 156,0.3897612754138535
62,5813.470717474896,2.4731336666781343,327918.74600000004,5807956.0,Sill 157,0.16544984354711945
64,4570.363390411639,2.2912209784680826,397977.331,5863884.65,Sill 159,0.2538594279063475
66,4749.5394878607685,2.7418124419345586,403435.72849999997,5864399.375,Sill 160,0.6668664367271839
67,5304.96362741925,2.483023273422365,411214.9575,5864888.15,Sill 161,0.4934727373067831
68,4531.944598797416,2.8064581822436714,335833.9185,5860243.84,Sill 162,1.196491614864187
69,2481.31521141508,1.5358934907137995,339908.664,5860481.25,Sill 163,0.3512505151778973
70,1781.7610654911214,1.095628483116027,339603.513,5860461.6850000005,Sill 164,0.3173870324584833
71,3645.237735656719,2.0448429188338966,346806.614,5860911.25,Sill 167,0.42701864343941587
72,2537.642319841169,1.5862020816465687,400409.2395,5943164.84,Sill 168,0.14308370086487554
73,7235.415791189466,1.9338530970417174,410933.561,5936997.445,Sill 169,0.3260448977717225
74,3061.1362106529405,2.751564995784163,403443.83050000004,5831005.470000001,Sill 17,0.7733651268327966
75,4153.074280879389,2.6367359770774996,395750.542,5946468.65,Sill 170,0.6942974946576455
76,3269.0318417050003,1.9417062715155953,395742.7615,5946474.17,Sill 171,0.9254996249838197
77,2346.8371308636288,0.9665415748348399,396819.24100000004,5945710.76,Sill 172,0.49051508691755
78,8225.665446131467,1.4371048711737124,764114.512,6219530.105,Sill 173,0.42742864169295913
79,8913.27283322743,2.7031836134948404,757391.3905,6214307.6850000005,Sill 174,0.631269344717766
80,3306.568655996079,0.6536285142264238,728156.557,6191598.49,Sill 175,0.4365809703132406
81,2750.221439969565,1.7339703839732818,734625.4985,6196623.475,Sill 176,0.24896492530739467
82,4669.131434048586,2.305624951315221,730841.8844999999,6193684.414999999,Sill 178,0.21616702292170764
83,8138.213880828478,1.9550302437161535,695303.5464999999,6166078.755,Sill 179,0.5051034993635382
84,2217.6196959677964,1.5278339839044248,403527.191,5830884.555,Sill 18,0.16830154125515118
85,6137.943240352537,0.9877083733394201,698196.1725000001,6168325.705,Sill 180,0.9184774121908621
86,16477.807944836677,3.268094759120329,689738.4635000001,6159753.885,Sill 181,1.5983318472421213
87,14535.059749447288,2.5074906441796023,689158.8705,6157906.25,Sill 182,1.0877574140361785
88,6454.360938923465,2.5902309234279457,687295.3325,6159894.945,Sill 183,0.7941050462504715
89,5525.498854143608,2.6416450600750467,647466.5819999999,6128919.705,Sill 184,0.5933599263125942
90,10444.598803207009,2.7114712487917147,641338.2390000001,6124159.29,Sill 185,1.0618935138423253
91,8519.393547134781,2.9489520434850705,624747.5645,6111271.9,Sill 186,1.0594163854866931
92,9945.970371222746,1.4419756101429124,607752.5460000001,6099160.305,Sill 187,0.6004234733942584
93,14629.255395944807,1.3701190890175994,572357.1915,6070566.105,Sill 188,0.6715085624788839
94,7973.913972278827,1.1375252716706297,589440.4725,6083835.625,Sill 189,0.356768606541386
95,1276.2882482586097,1.969487098829987,364208.14,5883290.390000001,Sill 19,0.3178537190843975
96,18253.356430106374,3.222581534170048,579560.882,6075537.055,Sill 190,0.9491998181335197
97,8636.321118105792,1.9404280479557354,539747.7145,6045236.54,Sill 191,0.4111169803390129
98,3849.4783333212463,2.46058058062396,553709.4515,6056081.385,Sill 192,0.8768387489000868
99,15810.32687583081,3.0454228047779393,549425.6805,6052753.949999999,Sill 193,1.3569174359177034
100,5567.987917927345,2.179836707073472,513475.04449999996,6024829.125,Sill 194,0.7824859018849815
101,23014.264895379092,4.376572977318787,468290.601,5994436.12,Sill 195,1.6140534402123157
102,4036.9864427226184,0.35409786208993355,445193.749,5971791.3100000005,Sill 196,0.19899019737069124
103,2749.6512964237254,0.6417583985541739,421919.211,5953712.7,Sill 197,0.06566785791409158
104,6205.4289921649415,0.9967073227627463,394615.109,5932504.109999999,Sill 198,0.9560789798293247
105,26466.201602349614,4.855562915626943,412138.4595,5819478.04,Sill 2,1.2884125118187848
106,2105.7035074383866,2.297911167922572,354123.1635,5896756.27,Sill 20,0.2605118135624589
107,4380.681435528813,1.9172590856608052,408122.82149999996,5942996.295,Sill 200,0.5820861756833895
109,2162.226923364947,3.276681820494886,320490.50549999997,5874927.484999999,Sill 202,0.6841893713956018
113,1731.3924078003574,0.4458117417761332,702730.0765,6171847.574999999,Sill 208,0.10883790434654689
114,2781.413404202711,1.9282216000392927,700444.625,6170072.27,Sill 209,0.29719291933021696
116,4300.351007414895,1.6091946121831961,701291.167,6170729.85,Sill 210,0.320151848165525
118,26918.7788077858,2.505323335237488,661863.757,6138678.15,Sill 212,0.9520333799345422
119,5806.675551089926,2.5091630446439708,668487.5005000001,6145248.4399999995,Sill 213,0.5421964818965985
120,8994.428346806559,2.6355825499823737,674475.102,6149899.525,Sill 214,0.48034147945243344
121,10669.617464218965,6.934238055020977,643845.8034999999,6126107.130000001,Sill 215,1.7948463054460735
122,13328.60720951312,3.263573192911922,617770.5285,6105849.57,Sill 216,1.2736494065346187
123,13365.92895396466,5.889683056115946,617375.7664999999,6105542.79,Sill 217,1.6995594158777747
124,5261.570180819707,6.054342761345673,619888.8795,6107496.77,Sill 218,2.156356158231354
125,2386.853566482113,1.418774450679716,605015.6375,6095934.305,Sill 219,0.48227343764642694
127,6405.39186245823,1.8368503144504784,600927.2085,6092758.0,Sill 220,0.2573493299087597
128,8417.50080679516,4.4947886543012485,601356.463,6093091.6,Sill 221,1.5600970399787735
129,2749.623232809607,4.533120063194281,601181.3640000001,6092955.42,Sill 222,1.117239417849082
130,5011.792076423248,3.5264128508268415,594499.0819999999,6087764.92,Sill 223,1.0531491916221363
131,7961.407032879789,5.155663455399666,573085.152,6071131.55,Sill 224,0.4820497308983045
132,7099.038596249094,3.14454802571374,564729.8034999999,6064641.495,Sill 225,0.20566692020796795
133,2249.6862026905046,2.468539840193813,539767.437,6045251.859999999,Sill 226,0.20540282988863456
134,4255.660822077077,2.82672152774468,527737.8375,6035907.81,Sill 227,0.9526430277226305
135,6749.059397814928,3.7248283397150654,528584.2265000001,6036565.25,Sill 228,0.8877899284430395
136,13573.147612538358,3.9042336321479283,534940.791,6041502.745,Sill 229,1.0637201720191833
139,2793.352385815344,2.5445536238649016,312660.7635,5868845.695,Sill 231,0.1945800811698346
140,2374.6848868983043,2.8191179673706905,317060.526,5872263.23,Sill 232,0.1234211862977097
141,2568.4234439334437,0.6971871126567878,315755.15150000004,5871249.275,Sill 233,0.2790533813297382
142,2105.9540801727503,2.77943099958327,318597.843,5873457.345000001,Sill 234,0.4908508155328688
143,2593.385750381272,0.3067402499557729,321993.2655,5876094.76,Sill 235,0.11357496064193792
144,3924.4735584120895,0.6270855117351004,330795.251,5882931.74,Sill 236,0.51476768673952
145,3212.064532952357,0.419191214145627,327769.96550000005,5880581.84,Sill 237,0.172795888872326
146,5955.433203237673,1.6213230738470927,336552.186,5887403.470000001,Sill 238,0.27025219852091764
147,3362.052007740161,2.308060616326766,333445.4615,5884990.305,Sill 239,0.5669888928023379
148,4001.8632568024045,2.093587885658552,341796.3725,5913154.995,Sill 24,0.7028158017284643
149,2149.699817801672,0.8164257594517417,332843.36,5884522.619999999,Sill 240,0.1991608759635679
151,4118.416055378805,2.8032452442504656,350094.756,5825710.945,Sill 242,0.33497503079918456
152,6245.402159745296,3.6964099750250687,351522.8065,5826846.265000001,Sill 243,0.6903883874103123
153,2337.0379707291027,0.16462341525061952,354437.49950000003,5829172.915,Sill 244,0.06269125310079326
154,4485.474272387457,2.1641743448988615,394768.0375,5861196.89,Sill 245,0.15847556985505662
155,1087.603507534253,2.502079444831098,400697.152,5865919.88,Sill 246,0.3279530268630255
156,1187.611073097355,2.198190498779412,409815.439,5873199.01,Sill 247,0.386690167233261
157,2243.622039159203,1.089444577623424,409646.93700000003,5873053.8149999995,Sill 248,0.18585673565048022
158,2631.379273302703,3.280141948857038,407764.17949999997,5871545.4,Sill 249,0.6080804216457576
159,6967.59160000908,1.8690691215111566,345048.73,5908825.07,Sill 25,1.1049914230624542
160,5786.7836363998695,2.6042329758640563,404403.7025,5868868.995,Sill 250,0.462992978378995
161,3193.9487679050885,3.8827311443254255,356267.55500000005,5830631.74,Sill 251,0.7494906857888921
162,6224.915273633885,5.136824655530804,365571.271,5838034.115,Sill 252,1.2099551111196516
163,2411.8107081944654,2.9620683948547866,358807.509,5832653.77,Sill 253,0.682093808858304
165,6361.477068284231,3.2798358293413425,362985.2035,5835985.074999999,Sill 255,0.6859480441176133
166,2562.0606203632433,2.954621062880472,354441.63,5829177.8100000005,Sill 256,0.24993637154694603
167,2924.796507810542,3.822345338482754,345132.576,5821775.869999999,Sill 257,0.600117779230533
168,3437.2147357326435,2.623388493863792,335318.583,5813975.17,Sill 258,0.9994666147028015
169,5299.691405085723,3.33591928656782,332111.36600000004,5811420.41,Sill 259,0.6464094483676424
173,1844.6222005411712,1.7505444568353072,323061.4075,5804252.82,Sill 262,0.30009004552324603
174,931.407406758076,2.0646248449379243,320327.881,5802076.255,Sill 263,0.17009408875697707
175,2506.1180360273197,3.6622988205787,319697.958,5801573.165,Sill 264,0.5143043826043359
176,2368.815814584094,2.382804224585776,321448.95149999997,5802966.08,Sill 265,0.22033997302251596
177,999.9998590817521,0.699529374181534,319470.578,5801392.05,Sill 266,0.2188488332958659
178,4075.7507313364604,1.4481516498994096,292906.7635,5780287.305,Sill 267,0.5693724849608278
179,5144.733125316434,2.15202154964154,296898.28099999996,5783458.859999999,Sill 268,1.3899607000530216
180,3857.216077458038,4.18545074597161,295999.135,5782741.495,Sill 269,1.0221996742660115
182,2256.412167889565,3.5658738480853467,297184.524,5783670.915,Sill 270,0.3945868065042979
183,2950.3378183538834,0.43306348424820096,293021.4975,5780375.43,Sill 271,0.14597851311137988
184,2506.5910410069087,3.4129981266225045,290404.663,5778287.025,Sill 272,0.13788905601741597
185,5631.656811763196,2.542796683069552,296324.923,5783005.3,Sill 273,1.0352734827783623
186,5987.735553413766,3.470391671902486,300526.382,5786343.08,Sill 274,0.6789112507757822
187,1200.4436871379594,1.6157303001411374,293839.71349999995,5781012.4350000005,Sill 275,0.6219749095732637
188,1244.4128538791547,0.7056001186880004,292317.83499999996,5779807.91,Sill 276,0.2418638868014884
190,2367.833402492038,3.723355283316004,358887.198,5832719.53,Sill 278,0.6956858986321315
191,1993.6343758210892,1.126458717338642,343371.684,5911051.845,Sill 28,1.0014496599171685
192,6717.135384286194,3.0655502122173344,421822.1755,5882718.91,Sill 280,0.276550531106424
193,1899.3816865833528,1.4023797129819227,435108.7765,5893291.68,Sill 281,0.5503818501583626
194,4266.841694590334,4.173615227769558,429923.41000000003,5889166.785,Sill 282,0.5061164075163473
195,2348.9250067696703,3.0667984639099837,433836.62950000004,5892291.345000001,Sill 283,0.5305752911781596
196,2123.4676396048185,3.745233765686983,431556.5205,5890470.28,Sill 284,0.973098244505481
197,6541.517411014506,2.308132433029141,627859.0995,6046457.76,Sill 285,0.7247123617737317
198,9140.877499514228,2.418502276205869,607045.4945,6029968.145,Sill 286,0.6899153058059226
199,4768.589789560263,2.8074958018571157,612928.558,6034647.325,Sill 287,0.7820449370911233
200,15905.912035807081,2.803515420699752,646371.9675,6066152.965,Sill 288,1.528626843159361
201,7650.511847124417,2.3279800726226814,640970.548,6056886.415,Sill 289,0.814405299603866
202,4244.2484143512465,1.9950262281899707,630933.7964999999,6048909.445,Sill 290,0.8452301754900087
203,7187.282773901729,1.8670636531156537,633108.1714999999,6050626.75,Sill 291,0.8878732098070685
204,13557.508295303718,2.5364739847566806,620072.6969999999,6040295.05,Sill 292,1.2925561304996673
205,9198.892664300802,2.0095383974191305,616995.7394999999,6040931.93,Sill 293,1.1538832169928055
206,4411.6423244985945,1.237144427524238,616791.682,6037695.375,Sill 294,0.5433065596026969
207,5186.327622638967,2.7214345949762357,632786.4775,6050357.785,Sill 295,0.4426415579776224
208,2964.9867943463714,2.270164667611262,635097.1465,6052222.88,Sill 296,0.5426733732542439
209,4632.311149656019,1.5252662268994117,634532.8034999999,6051773.035,Sill 297,0.4678747444603353
210,7018.248191030494,1.1732955533033156,670503.9435,6080395.955,Sill 298,0.35687548519608225
211,3937.103976764664,2.950919609061696,663060.828,6074459.9,Sill 299,1.1922853001794191
212,4190.374079486674,0.7587922629283312,375450.647,5868369.895,Sill 3,0.5038631158378905
214,13236.096328813397,3.2563709381476262,695383.3525,6100126.6899999995,Sill 300,1.3719402821069928
215,13176.935758462932,3.3870683386970084,709303.199,6111080.86,Sill 301,0.9401324181580453
216,13854.682947960866,3.6332377637056483,707086.8315,6105100.654999999,Sill 302,1.068411015230398
217,13471.553108268978,3.1530448512275284,706115.4095000001,6107538.275,Sill 303,1.0648408239187503
218,5476.345929741707,3.1807320793171767,716668.8495,6117023.62,Sill 304,1.187691406320442
219,6269.698927202614,3.0989779262030255,721293.5989999999,6120704.9,Sill 306,1.3551983860510535
220,4225.34231901197,3.336071893506205,723554.21,6122507.455,Sill 307,0.9432874472907629
221,10122.710393734966,3.0906527746622587,726617.5064999999,6126327.465,Sill 308,0.9291970950293948
222,30320.245856928603,3.7700259202975124,727660.442,6127559.265000001,Sill 309,1.1125807975017845
223,6697.718672361679,3.3608787948107643,737515.2779999999,6133613.755,Sill 310,0.8019107891211767
224,3188.4244177675364,0.9965584568801177,750298.64,6143801.635,Sill 311,0.179600968287552
225,6376.949631756453,2.4914856459553976,747428.612,6141515.135,Sill 312,0.6530421340213963
226,9192.156682263816,3.0230997683297414,738547.2245,6134430.529999999,Sill 313,0.8793939804621429
227,3088.4416909194124,2.1792977907542186,743259.3415000001,6138199.640000001,Sill 314,0.5160275702737607
